,Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked,FamilySize,Title,BooleanGender,NumericalEmbarked,NumericalTitle,NumericalSurvived,TravelingWith
125,Yes,3,male,12.0,1,0,11.2417,C,2,Master,0,2.0,1.0,1,Child TW/ Parent
126,No,3,male,36.0,0,0,7.75,Q,1,Mr,0,3.0,4.0,0,Male TW/ Family
127,Yes,3,male,24.0,0,0,7.1417,S,1,Mr,0,1.0,4.0,1,Male TW/ Family
128,Yes,3,female,29.0,1,1,22.3583,C,3,Miss,1,2.0,2.0,1,Female TW/ Family
129,No,3,male,45.0,0,0,6.975,S,1,Mr,0,1.0,4.0,0,Male TW/ Family
130,No,3,male,33.0,0,0,7.8958,C,1,Mr,0,2.0,4.0,0,Male TW/ Family
131,No,3,male,20.0,0,0,7.05,S,1,Mr,0,1.0,4.0,0,Male TW/ Family
132,No,3,female,47.0,1,0,14.5,S,2,Mrs,1,1.0,3.0,0,Female TW/ Family
133,Yes,2,female,29.0,1,0,26.0,S,2,Mrs,1,1.0,3.0,1,Female TW/ Family
134,No,2,male,25.0,0,0,13.0,S,1,Mr,0,1.0,4.0,0,Male TW/ Family
135,No,2,male,23.0,0,0,15.0458,C,1,Mr,0,2.0,4.0,0,Male TW/ Family
136,Yes,1,female,19.0,0,2,26.2833,S,3,Miss,1,1.0,2.0,1,Female TW/ Family
137,No,1,male,37.0,1,0,53.1,S,2,Mr,0,1.0,4.0,0,Male TW/ Family
138,No,3,male,16.0,0,0,9.2167,S,1,Mr,0,1.0,4.0,0,Male TW/ Family
139,No,1,male,24.0,0,0,79.2,C,1,Mr,0,2.0,4.0,0,Male TW/ Family
140,No,3,female,36.0,0,2,15.2458,C,3,Mrs,1,2.0,3.0,0,Female TW/ Family
141,Yes,3,female,22.0,0,0,7.75,S,1,Miss,1,1.0,2.0,1,Female TW/ Family
142,Yes,3,female,24.0,1,0,15.85,S,2,Mrs,1,1.0,3.0,1,Female TW/ Family
143,No,3,male,19.0,0,0,6.75,Q,1,Mr,0,3.0,4.0,0,Male TW/ Family
144,No,2,male,18.0,0,0,11.5,S,1,Mr,0,1.0,4.0,0,Male TW/ Family
145,No,2,male,19.0,1,1,36.75,S,3,Mr,0,1.0,4.0,0,Male TW/ Family
146,Yes,3,male,27.0,0,0,7.7958,S,1,Mr,0,1.0,4.0,1,Male TW/ Family
147,No,3,female,9.0,2,2,34.375,S,5,Miss,1,1.0,2.0,0,Child TW/ Family
148,No,2,male,36.5,0,2,26.0,S,3,Mr,0,1.0,4.0,0,Male TW/ Family
149,No,2,male,42.0,0,0,13.0,S,1,Officer,0,1.0,6.0,0,Male TW/ Family
150,No,2,male,51.0,0,0,12.525,S,1,Officer,0,1.0,6.0,0,Male TW/ Family
151,Yes,1,female,22.0,1,0,66.6,S,2,Mrs,1,1.0,3.0,1,Female TW/ Family
152,No,3,male,55.5,0,0,8.05,S,1,Mr,0,1.0,4.0,0,Male TW/ Family
153,No,3,male,40.5,0,2,14.5,S,3,Mr,0,1.0,4.0,0,Male TW/ Family
154,No,3,male,26.0,0,0,7.3125,S,1,Mr,0,1.0,4.0,0,Male TW/ Family
155,No,1,male,51.0,0,1,61.3792,C,2,Mr,0,2.0,4.0,0,Male TW/ Family
156,Yes,3,female,16.0,0,0,7.7333,Q,1,Miss,1,3.0,2.0,1,Female TW/ Family
157,No,3,male,30.0,0,0,8.05,S,1,Mr,0,1.0,4.0,0,Male TW/ Family
158,No,3,male,25.0,0,0,8.6625,S,1,Mr,0,1.0,4.0,0,Male TW/ Family
159,No,3,male,0.0,8,2,69.55,S,11,Master,0,1.0,1.0,0,Child TW/ Family
160,No,3,male,44.0,0,1,16.1,S,2,Mr,0,1.0,4.0,0,Male TW/ Family
161,Yes,2,female,40.0,0,0,15.75,S,1,Mrs,1,1.0,3.0,1,Female TW/ Family
162,No,3,male,26.0,0,0,7.775,S,1,Mr,0,1.0,4.0,0,Male TW/ Family
163,No,3,male,17.0,0,0,8.6625,S,1,Mr,0,1.0,4.0,0,Male TW/ Family
164,No,3,male,1.0,4,1,39.6875,S,6,Master,0,1.0,1.0,0,Child TW/ Family
165,Yes,3,male,9.0,0,2,20.525,S,3,Master,0,1.0,1.0,1,Child TW/ Sibling
166,Yes,1,female,35.0,0,1,55.0,S,2,Mrs,1,1.0,3.0,1,Female TW/ Family
167,No,3,female,45.0,1,4,27.9,S,6,Mrs,1,1.0,3.0,0,Female TW/ Family
168,No,1,male,27.0,0,0,25.925,S,1,Mr,0,1.0,4.0,0,Male TW/ Family
169,No,3,male,28.0,0,0,56.4958,S,1,Mr,0,1.0,4.0,0,Male TW/ Family
170,No,1,male,61.0,0,0,33.5,S,1,Mr,0,1.0,4.0,0,Male TW/ Family
171,No,3,male,4.0,4,1,29.125,Q,6,Master,0,3.0,1.0,0,Child TW/ Family
172,Yes,3,female,1.0,1,1,11.1333,S,3,Miss,1,1.0,2.0,1,Child TW/ Family
173,No,3,male,21.0,0,0,7.925,S,1,Mr,0,1.0,4.0,0,Male TW/ Family
174,No,1,male,56.0,0,0,30.6958,C,1,Mr,0,2.0,4.0,0,Male TW/ Family
175,No,3,male,18.0,1,1,7.8542,S,3,Mr,0,1.0,4.0,0,Male TW/ Family
176,No,3,male,7.0,3,1,25.4667,S,5,Master,0,1.0,1.0,0,Child TW/ Family
177,No,1,female,50.0,0,0,28.7125,C,1,Miss,1,2.0,2.0,0,Female TW/ Family
178,No,2,male,30.0,0,0,13.0,S,1,Mr,0,1.0,4.0,0,Male TW/ Family
179,No,3,male,36.0,0,0,0.0,S,1,Mr,0,1.0,4.0,0,Male TW/ Family
180,No,3,female,25.0,8,2,69.55,S,11,Miss,1,1.0,2.0,0,Female TW/ Family
181,No,2,male,43.0,0,0,15.05,C,1,Mr,0,2.0,4.0,0,Male TW/ Family
182,No,3,male,9.0,4,2,31.3875,S,7,Master,0,1.0,1.0,0,Child TW/ Family
183,Yes,2,male,1.0,2,1,39.0,S,4,Master,0,1.0,1.0,1,Child TW/ Family
184,Yes,3,female,4.0,0,2,22.025,S,3,Miss,1,1.0,2.0,1,Child TW/ Sibling
185,No,1,male,29.0,0,0,50.0,S,1,Mr,0,1.0,4.0,0,Male TW/ Family
186,Yes,3,female,25.0,1,0,15.5,Q,2,Mrs,1,3.0,3.0,1,Female TW/ Family
187,Yes,1,male,45.0,0,0,26.55,S,1,Mr,0,1.0,4.0,1,Male TW/ Family
188,No,3,male,40.0,1,1,15.5,Q,3,Mr,0,3.0,4.0,0,Male TW/ Family
189,No,3,male,36.0,0,0,7.8958,S,1,Mr,0,1.0,4.0,0,Male TW/ Family
190,Yes,2,female,32.0,0,0,13.0,S,1,Mrs,1,1.0,3.0,1,Female TW/ Family
191,No,2,male,19.0,0,0,13.0,S,1,Mr,0,1.0,4.0,0,Male TW/ Family
192,Yes,3,female,19.0,1,0,7.8542,S,2,Miss,1,1.0,2.0,1,Female TW/ Family
193,Yes,2,male,3.0,1,1,26.0,S,3,Master,0,1.0,1.0,1,Child TW/ Family
194,Yes,1,female,44.0,0,0,27.7208,C,1,Mrs,1,2.0,3.0,1,Female TW/ Family
195,Yes,1,female,58.0,0,0,146.5208,C,1,Miss,1,2.0,2.0,1,Female TW/ Family
196,No,3,male,29.0,0,0,7.75,Q,1,Mr,0,3.0,4.0,0,Male TW/ Family
197,No,3,male,42.0,0,1,8.4042,S,2,Mr,0,1.0,4.0,0,Male TW/ Family
198,Yes,3,female,14.0,0,0,7.75,Q,1,Miss,1,3.0,2.0,1,Child TW/ Nanny
199,No,2,female,24.0,0,0,13.0,S,1,Miss,1,1.0,2.0,0,Female TW/ Family
200,No,3,male,28.0,0,0,9.5,S,1,Mr,0,1.0,4.0,0,Male TW/ Family
201,No,3,male,29.0,8,2,69.55,S,11,Mr,0,1.0,4.0,0,Male TW/ Family
202,No,3,male,34.0,0,0,6.4958,S,1,Mr,0,1.0,4.0,0,Male TW/ Family
203,No,3,male,45.5,0,0,7.225,C,1,Mr,0,2.0,4.0,0,Male TW/ Family
204,Yes,3,male,18.0,0,0,8.05,S,1,Mr,0,1.0,4.0,1,Male TW/ Family
205,No,3,female,2.0,0,1,10.4625,S,2,Miss,1,1.0,2.0,0,Child TW/ Sibling
206,No,3,male,32.0,1,0,15.85,S,2,Mr,0,1.0,4.0,0,Male TW/ Family
207,Yes,3,male,26.0,0,0,18.7875,C,1,Mr,0,2.0,4.0,1,Male TW/ Family
208,Yes,3,female,16.0,0,0,7.75,Q,1,Miss,1,3.0,2.0,1,Female TW/ Family
209,Yes,1,male,40.0,0,0,31.0,C,1,Mr,0,2.0,4.0,1,Male TW/ Family
210,No,3,male,24.0,0,0,7.05,S,1,Mr,0,1.0,4.0,0,Male TW/ Family
211,Yes,2,female,35.0,0,0,21.0,S,1,Miss,1,1.0,2.0,1,Female TW/ Family
212,No,3,male,22.0,0,0,7.25,S,1,Mr,0,1.0,4.0,0,Male TW/ Family
213,No,2,male,30.0,0,0,13.0,S,1,Mr,0,1.0,4.0,0,Male TW/ Family
214,No,3,male,19.0,1,0,7.75,Q,2,Mr,0,3.0,4.0,0,Male TW/ Family
215,Yes,1,female,31.0,1,0,113.275,C,2,Miss,1,2.0,2.0,1,Female TW/ Family
216,Yes,3,female,27.0,0,0,7.925,S,1,Miss,1,1.0,2.0,1,Female TW/ Family
217,No,2,male,42.0,1,0,27.0,S,2,Mr,0,1.0,4.0,0,Male TW/ Family
218,Yes,1,female,32.0,0,0,76.2917,C,1,Miss,1,2.0,2.0,1,Female TW/ Family
219,No,2,male,30.0,0,0,10.5,S,1,Mr,0,1.0,4.0,0,Male TW/ Family
220,Yes,3,male,16.0,0,0,8.05,S,1,Mr,0,1.0,4.0,1,Male TW/ Family
221,No,2,male,27.0,0,0,13.0,S,1,Mr,0,1.0,4.0,0,Male TW/ Family
222,No,3,male,51.0,0,0,8.05,S,1,Mr,0,1.0,4.0,0,Male TW/ Family
223,No,3,male,37.0,0,0,7.8958,S,1,Mr,0,1.0,4.0,0,Male TW/ Family
224,Yes,1,male,38.0,1,0,90.0,S,2,Mr,0,1.0,4.0,1,Male TW/ Family
225,No,3,male,22.0,0,0,9.35,S,1,Mr,0,1.0,4.0,0,Male TW/ Family
226,Yes,2,male,19.0,0,0,10.5,S,1,Mr,0,1.0,4.0,1,Male TW/ Family
227,No,3,male,20.5,0,0,7.25,S,1,Mr,0,1.0,4.0,0,Male TW/ Family
228,No,2,male,18.0,0,0,13.0,S,1,Mr,0,1.0,4.0,0,Male TW/ Family
229,No,3,female,25.0,3,1,25.4667,S,5,Miss,1,1.0,2.0,0,Female TW/ Family
230,Yes,1,female,35.0,1,0,83.475,S,2,Mrs,1,1.0,3.0,1,Female TW/ Family
231,No,3,male,29.0,0,0,7.775,S,1,Mr,0,1.0,4.0,0,Male TW/ Family
232,No,2,male,59.0,0,0,13.5,S,1,Mr,0,1.0,4.0,0,Male TW/ Family
233,Yes,3,female,5.0,4,2,31.3875,S,7,Miss,1,1.0,2.0,1,Child TW/ Family
234,No,2,male,24.0,0,0,10.5,S,1,Mr,0,1.0,4.0,0,Male TW/ Family
235,No,3,female,23.0,0,0,7.55,S,1,Miss,1,1.0,2.0,0,Female TW/ Family
236,No,2,male,44.0,1,0,26.0,S,2,Mr,0,1.0,4.0,0,Male TW/ Family
237,Yes,2,female,8.0,0,2,26.25,S,3,Miss,1,1.0,2.0,1,Child TW/ Sibling
238,No,2,male,19.0,0,0,10.5,S,1,Mr,0,1.0,4.0,0,Male TW/ Family
239,No,2,male,33.0,0,0,12.275,S,1,Mr,0,1.0,4.0,0,Male TW/ Family
240,No,3,female,9.0,1,0,14.4542,C,2,Miss,1,2.0,2.0,0,Child TW/ Parent
241,Yes,3,female,27.0,1,0,15.5,Q,2,Miss,1,3.0,2.0,1,Female TW/ Family
242,No,2,male,29.0,0,0,10.5,S,1,Mr,0,1.0,4.0,0,Male TW/ Family
243,No,3,male,22.0,0,0,7.125,S,1,Mr,0,1.0,4.0,0,Male TW/ Family
244,No,3,male,30.0,0,0,7.225,C,1,Mr,0,2.0,4.0,0,Male TW/ Family
245,No,1,male,44.0,2,0,90.0,Q,3,Officer,0,3.0,6.0,0,Male TW/ Family
246,No,3,female,25.0,0,0,7.775,S,1,Miss,1,1.0,2.0,0,Female TW/ Family
247,Yes,2,female,24.0,0,2,14.5,S,3,Mrs,1,1.0,3.0,1,Female TW/ Family
248,Yes,1,male,37.0,1,1,52.5542,S,3,Mr,0,1.0,4.0,1,Male TW/ Family
249,No,2,male,54.0,1,0,26.0,S,2,Officer,0,1.0,6.0,0,Male TW/ Family
250,No,3,male,25.0,0,0,7.25,S,1,Mr,0,1.0,4.0,0,Male TW/ Family
251,No,3,female,29.0,1,1,10.4625,S,3,Mrs,1,1.0,3.0,0,Female TW/ Family
252,No,1,male,62.0,0,0,26.55,S,1,Mr,0,1.0,4.0,0,Male TW/ Family
253,No,3,male,30.0,1,0,16.1,S,2,Mr,0,1.0,4.0,0,Male TW/ Family
254,No,3,female,41.0,0,2,20.2125,S,3,Mrs,1,1.0,3.0,0,Female TW/ Family
255,Yes,3,female,29.0,0,2,15.2458,C,3,Mrs,1,2.0,3.0,1,Female TW/ Family
256,Yes,1,female,33.0,0,0,79.2,C,1,Mrs,1,2.0,3.0,1,Female TW/ Family
257,Yes,1,female,30.0,0,0,86.5,S,1,Miss,1,1.0,2.0,1,Female TW/ Family
258,Yes,1,female,35.0,0,0,512.3292,C,1,Miss,1,2.0,2.0,1,Female TW/ Family
259,Yes,2,female,50.0,0,1,26.0,S,2,Mrs,1,1.0,3.0,1,Female TW/ Family
260,No,3,male,28.0,0,0,7.75,Q,1,Mr,0,3.0,4.0,0,Male TW/ Family
261,Yes,3,male,3.0,4,2,31.3875,S,7,Master,0,1.0,1.0,1,Child TW/ Family
262,No,1,male,52.0,1,1,79.65,S,3,Mr,0,1.0,4.0,0,Male TW/ Family
263,No,1,male,40.0,0,0,0.0,S,1,Mr,0,1.0,4.0,0,Male TW/ Family
264,No,3,female,32.0,0,0,7.75,Q,1,Miss,1,3.0,2.0,0,Female TW/ Family
265,No,2,male,36.0,0,0,10.5,S,1,Mr,0,1.0,4.0,0,Male TW/ Family
266,No,3,male,16.0,4,1,39.6875,S,6,Mr,0,1.0,4.0,0,Male TW/ Family
267,Yes,3,male,25.0,1,0,7.775,S,2,Mr,0,1.0,4.0,1,Male TW/ Family
268,Yes,1,female,58.0,0,1,153.4625,S,2,Mrs,1,1.0,3.0,1,Female TW/ Family
269,Yes,1,female,35.0,0,0,135.6333,S,1,Miss,1,1.0,2.0,1,Female TW/ Family
270,No,1,male,33.0,0,0,31.0,S,1,Mr,0,1.0,4.0,0,Male TW/ Family
271,Yes,3,male,25.0,0,0,0.0,S,1,Mr,0,1.0,4.0,1,Male TW/ Family
272,Yes,2,female,41.0,0,1,19.5,S,2,Mrs,1,1.0,3.0,1,Female TW/ Family
273,No,1,male,37.0,0,1,29.7,C,2,Mr,0,2.0,4.0,0,Male TW/ Family
274,Yes,3,female,30.0,0,0,7.75,Q,1,Miss,1,3.0,2.0,1,Female TW/ Family
